account_id,ticket_id,created_date,subject,description,priority,resolution_time_hours,status
1000,TKT-5001,2026-01-08,Webhook delivery delays,Webhook delivery delays. Customer requesting immediate escalation to engineering.,P1,,Open
1000,TKT-5002,2025-11-13,Locale fallback not working,Customer reports locale fallback not working affecting their production environment.,P1,79.7,Resolved
1000,TKT-5003,2026-02-16,Content sync failures,Content sync failures. Customer requesting immediate escalation to engineering.,P3,47.1,Open
1000,TKT-5004,2026-03-02,Release preview environment setup,Minor issue with release preview environment setup. Customer happy with workaround for now.,P2,87.3,Resolved
1000,TKT-5005,2026-02-01,Marketplace app compatibility issue,Blocking issue. Marketplace app compatibility issue. Customer says this is impacting go-live timeline.,P2,69.6,Escalated
1000,TKT-5006,2025-12-17,Locale fallback not working,Customer reports locale fallback not working affecting their production environment.,P3,51.5,Resolved
1000,TKT-5007,2026-02-14,API rate limiting issues,Customer reports api rate limiting issues affecting their production environment.,P2,26.7,Resolved
1001,TKT-5008,2025-10-02,Content scheduling timezone bug,Blocking issue. Content scheduling timezone bug. Customer says this is impacting go-live timeline.,P1,98.2,Open
1001,TKT-5009,2026-04-02,CDN cache invalidation delays,Minor issue with cdn cache invalidation delays. Customer happy with workaround for now.,P1,59.2,Resolved
1001,TKT-5010,2026-02-10,Role permissions not applying correctly,Blocking issue. Role permissions not applying correctly. Customer says this is impacting go-live timeline.,P1,,Open
1001,TKT-5011,2025-10-18,Workflow automation broken after update,Recurring issue: workflow automation broken after update. Third time reporting this month.,P1,99.4,Open
1001,TKT-5012,2026-03-09,Migration from legacy editor,Minor issue with migration from legacy editor. Customer happy with workaround for now.,P1,78.7,Resolved
1001,TKT-5013,2025-10-06,Performance degradation on publish,Recurring issue: performance degradation on publish. Third time reporting this month.,P2,,Escalated
1001,TKT-5014,2025-10-03,Webhook delivery delays,Recurring issue: webhook delivery delays. Third time reporting this month.,P1,,Open
1001,TKT-5015,2026-02-05,SSO configuration help,SSO configuration help. Customer requesting immediate escalation to engineering.,P1,48.9,Resolved
1001,TKT-5016,2026-04-11,New editor crash on Safari,Recurring issue: new editor crash on safari. Third time reporting this month.,P3,,Resolved
1001,TKT-5017,2025-12-04,Content sync failures,Minor issue with content sync failures. Customer happy with workaround for now.,P1,70.7,Resolved
1001,TKT-5018,2026-01-22,API rate limiting issues,Recurring issue: api rate limiting issues. Third time reporting this month.,P1,38.9,Escalated
1001,TKT-5019,2025-11-23,Content sync failures,Minor issue with content sync failures. Customer happy with workaround for now.,P1,22.1,Open
1001,TKT-5020,2025-10-11,Role permissions not applying correctly,Blocking issue. Role permissions not applying correctly. Customer says this is impacting go-live timeline.,P3,46.9,Open
1002,TKT-5021,2026-03-20,Webhook delivery delays,Recurring issue: webhook delivery delays. Third time reporting this month.,P1,33.5,Escalated
1002,TKT-5022,2026-02-27,Webhook delivery delays,Customer reports webhook delivery delays affecting their production environment.,P1,13.6,Escalated
1002,TKT-5023,2026-03-26,Role permissions not applying correctly,Minor issue with role permissions not applying correctly. Customer happy with workaround for now.,P3,,Resolved
1002,TKT-5024,2026-03-25,Audit log missing entries,Blocking issue. Audit log missing entries. Customer says this is impacting go-live timeline.,P1,38.9,Open
1002,TKT-5025,2026-03-15,GraphQL query timeout,Recurring issue: graphql query timeout. Third time reporting this month.,P4,79.5,Resolved
1002,TKT-5026,2026-02-20,Release preview environment setup,Release preview environment setup. Customer requesting immediate escalation to engineering.,P3,,Resolved
1002,TKT-5027,2026-04-04,New editor crash on Safari,Recurring issue: new editor crash on safari. Third time reporting this month.,P3,,Resolved
1002,TKT-5028,2026-03-28,Workflow automation broken after update,Minor issue with workflow automation broken after update. Customer happy with workaround for now.,P3,59.3,Resolved
1002,TKT-5029,2026-03-03,Performance degradation on publish,Blocking issue. Performance degradation on publish. Customer says this is impacting go-live timeline.,P2,47.0,Open
1002,TKT-5030,2025-12-07,SDK upgrade guidance,Blocking issue. SDK upgrade guidance. Customer says this is impacting go-live timeline.,P1,,Resolved
1002,TKT-5031,2025-10-05,CDN cache invalidation delays,Blocking issue. CDN cache invalidation delays. Customer says this is impacting go-live timeline.,P2,66.6,Open
1002,TKT-5032,2026-03-18,CDN cache invalidation delays,Blocking issue. CDN cache invalidation delays. Customer says this is impacting go-live timeline.,P3,,Open
1002,TKT-5033,2025-12-12,Role permissions not applying correctly,Role permissions not applying correctly. Customer requesting immediate escalation to engineering.,P1,94.7,Resolved
1002,TKT-5034,2025-10-18,Bulk import failing for large datasets,Customer reports bulk import failing for large datasets affecting their production environment.,P2,,Open
1003,TKT-5035,2025-10-26,SDK upgrade guidance,Customer reports sdk upgrade guidance affecting their production environment.,P3,,Open
1003,TKT-5036,2026-03-01,Marketplace app compatibility issue,Marketplace app compatibility issue. Customer requesting immediate escalation to engineering.,P2,64.9,Open
