account_id,score,verbatim_comment
1000,6,The new editor is a downgrade. We've wasted months trying to adapt.
1001,8,Support takes forever. Our P1 sat open for 3 weeks.
1002,0,Support takes forever. Our P1 sat open for 3 weeks.
1003,8,Great support team. Always responsive.
1004,6,Constant downtime and no communication. We're done.
1005,2,Support takes forever. Our P1 sat open for 3 weeks.
1006,8,We love the CONCEPT but the execution has fallen off a cliff this year.
1008,5,Fine for now but we're watching competitors closely.
1009,8,Fine for now but we're watching competitors closely.
1011,7,"Good product, needs better documentation."
1012,6,Solid CMS but the pricing feels steep for what we get.
1013,9,El producto es bueno pero el soporte en español es inexistente.
1014,10,Le produit est bon mais l'interface n'est pas intuitive pour notre équipe marketing.
1016,7,Le produit est bon mais l'interface n'est pas intuitive pour notre équipe marketing.
1017,5,产品功能还可以，但客服团队沟通效率太低了。我们多次要求更换客户经理都没有得到回应。非常失望。
1018,10,Transformed how our team publishes content. Love it.
1019,3,Great developer experience and the support team is phenomenal.
1020,10,Great developer experience and the support team is phenomenal.
1022,9,Best headless CMS on the market. Period.
1023,9,Transformed how our team publishes content. Love it.
1024,9,Transformed how our team publishes content. Love it.
1025,10,
1026,7,
1027,5,Would recommend to anyone in our industry.
1028,6,Transformed how our team publishes content. Love it.
1029,8,We evaluated 5 CMS platforms. Contentstack won easily.
1030,10,Transformed how our team publishes content. Love it.
1032,7,Transformed how our team publishes content. Love it.
1033,8,
1034,8,Would recommend to anyone in our industry.
1035,9,Best headless CMS on the market. Period.
1036,10,Best headless CMS on the market. Period.
1037,10,We evaluated 5 CMS platforms. Contentstack won easily.
1038,9,Transformed how our team publishes content. Love it.
1039,10,Would recommend to anyone in our industry.
1040,10,Transformed how our team publishes content. Love it.
1041,2,Best headless CMS on the market. Period.
1042,10,Transformed how our team publishes content. Love it.
1043,7,Transformed how our team publishes content. Love it.
1046,9,Best headless CMS on the market. Period.
1048,8,Transformed how our team publishes content. Love it.
1050,8,Best headless CMS on the market. Period.
1051,10,Best headless CMS on the market. Period.
1053,9,Best headless CMS on the market. Period.
1054,6,Transformed how our team publishes content. Love it.
1055,7,Best headless CMS on the market. Period.
1057,7,Would recommend to anyone in our industry.
1058,6,Would recommend to anyone in our industry.
1059,9,Would recommend to anyone in our industry.
1060,5,Would recommend to anyone in our industry.
1061,8,
1062,7,Would recommend to anyone in our industry.
1064,10,Would recommend to anyone in our industry.
1065,8,
1066,8,Best headless CMS on the market. Period.
1067,7,We evaluated 5 CMS platforms. Contentstack won easily.
1068,8,We evaluated 5 CMS platforms. Contentstack won easily.
1070,5,Best headless CMS on the market. Period.
1071,8,Great developer experience and the support team is phenomenal.
1072,8,Best headless CMS on the market. Period.
1074,8,We evaluated 5 CMS platforms. Contentstack won easily.
1075,7,We evaluated 5 CMS platforms. Contentstack won easily.
1076,8,We evaluated 5 CMS platforms. Contentstack won easily.
1077,4,We evaluated 5 CMS platforms. Contentstack won easily.
1078,7,Best headless CMS on the market. Period.
1079,8,Best headless CMS on the market. Period.
1080,8,
1083,9,Best headless CMS on the market. Period.
1084,10,Transformed how our team publishes content. Love it.
1086,7,Would recommend to anyone in our industry.
1087,8,Transformed how our team publishes content. Love it.
1088,9,Great developer experience and the support team is phenomenal.
1089,9,Would recommend to anyone in our industry.
1090,9,
1091,7,
1092,8,We evaluated 5 CMS platforms. Contentstack won easily.
1093,6,We evaluated 5 CMS platforms. Contentstack won easily.
1095,8,
1096,2,
1099,10,We evaluated 5 CMS platforms. Contentstack won easily.
1100,7,Great developer experience and the support team is phenomenal.
1101,5,Best headless CMS on the market. Period.
1102,8,We evaluated 5 CMS platforms. Contentstack won easily.
1103,6,
1104,8,Would recommend to anyone in our industry.
1105,10,Would recommend to anyone in our industry.
1107,10,Best headless CMS on the market. Period.
1108,7,We evaluated 5 CMS platforms. Contentstack won easily.
1109,2,Transformed how our team publishes content. Love it.
1110,10,Great developer experience and the support team is phenomenal.
1111,6,We evaluated 5 CMS platforms. Contentstack won easily.
1113,8,Best headless CMS on the market. Period.
1114,8,Would recommend to anyone in our industry.
1115,9,We evaluated 5 CMS platforms. Contentstack won easily.
1116,6,Best headless CMS on the market. Period.
1117,8,We evaluated 5 CMS platforms. Contentstack won easily.
1118,7,Great developer experience and the support team is phenomenal.
1119,2,Best headless CMS on the market. Period.
